,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
44,tcp,106.180.225.76,54369,23153,10.177.71.215,HTTPS
148,tcp,175.27.0.201,54401,80,10.177.71.215,微信消息
168,tcp,175.27.0.201,54405,80,10.177.71.215,微信消息
175,tcp,175.27.0.201,54397,80,10.177.71.215,微信消息
315,tcp,175.27.0.201,54383,80,10.177.71.215,微信消息
403,tcp,175.27.0.201,54446,80,10.177.71.215,微信消息
467,tcp,175.27.0.201,54455,80,10.177.71.215,微信消息
477,tcp,106.180.225.76,54449,23153,10.177.71.215,HTTPS
537,tcp,121.51.94.44,54172,443,10.177.71.215,腾讯会议
602,tcp,175.27.0.201,54473,80,10.177.71.215,微信消息
610,tcp,175.27.0.201,54474,80,10.177.71.215,微信消息
800,tcp,175.27.0.201,54496,80,10.177.71.215,微信消息
810,tcp,43.141.32.108,54173,443,10.177.71.215,腾讯云
825,tcp,175.27.0.201,54495,80,10.177.71.215,微信消息
918,tcp,106.180.225.76,54503,23153,10.177.71.215,HTTPS
1020,tcp,175.27.0.201,54489,80,10.177.71.215,微信消息
1036,tcp,175.27.0.201,54490,80,10.177.71.215,微信消息
1366,tcp,175.178.30.203,54017,443,10.177.71.215,腾讯会议
1372,tcp,106.180.225.76,54552,23153,10.177.71.215,HTTPS
1437,tcp,106.180.225.76,53302,23153,10.177.71.215,HTTPS
1761,tcp,106.180.225.76,54213,23153,10.177.71.215,HTTPS
1859,udp,202.120.224.26,45585,53,10.177.71.215,DNS
1920,tcp,202.120.224.58,54599,443,10.177.71.215,HTTPS
1941,tcp,202.120.224.58,54600,443,10.177.71.215,HTTPS
1944,tcp,106.180.225.76,54594,23153,10.177.71.215,HTTPS
1990,tcp,218.102.253.37,54296,38000,10.177.71.215,HTTPS
2005,tcp,112.120.41.37,54297,38900,10.177.71.215,HTTPS
2012,tcp,219.76.163.135,54295,20183,10.177.71.215,HTTPS
2042,tcp,203.184.131.249,54288,51202,10.177.71.215,HTTPS
2043,tcp,81.69.54.143,54018,443,10.177.71.215,腾讯会议
2049,tcp,220.246.254.81,54293,58991,10.177.71.215,HTTPS
2052,tcp,36.156.112.254,54298,31200,10.177.71.215,HTTPS
2103,tcp,219.76.163.135,54300,20183,10.177.71.215,HTTPS
2260,udp,175.27.6.16,51271,8000,10.177.71.215,腾讯会议
2266,udp,202.120.224.26,57276,53,10.177.71.215,DNS
2357,tcp,112.120.41.37,54299,38900,10.177.71.215,HTTPS
2518,tcp,106.180.225.76,54651,23153,10.177.71.215,HTTPS
2558,tcp,106.180.225.76,54648,23153,10.177.71.215,HTTPS
2894,tcp,218.102.253.37,52593,38000,10.177.71.215,HTTPS
2928,tcp,112.120.119.174,54611,25443,10.177.71.215,HTTPS
2951,tcp,58.152.44.218,54610,22443,10.177.71.215,HTTPS
2977,tcp,42.3.72.138,54607,32443,10.177.71.215,HTTPS
3066,tcp,106.180.225.76,54692,23153,10.177.71.215,HTTPS
3225,tcp,106.180.225.76,54137,23153,10.177.71.215,HTTPS
3322,tcp,106.180.225.76,54127,23153,10.177.71.215,HTTPS
3453,tcp,110.242.70.52,54122,80,10.177.71.215,百度网盘
3511,tcp,106.180.225.76,54730,23153,10.177.71.215,HTTPS
3655,tcp,175.27.0.201,54749,80,10.177.71.215,微信消息
4020,tcp,106.180.225.76,54773,23153,10.177.71.215,HTTPS
4057,tcp,13.224.167.35,53163,443,10.177.71.215,HTTPS
4064,udp,202.120.224.26,48358,53,10.177.71.215,DNS
4067,udp,202.120.224.26,1266,53,10.177.71.215,DNS
4352,tcp,106.180.225.76,54531,23153,10.177.71.215,HTTPS
4419,tcp,106.180.225.76,54808,23153,10.177.71.215,HTTPS
4474,tcp,106.180.225.76,54262,23153,10.177.71.215,HTTPS
4936,tcp,106.180.225.76,54843,23153,10.177.71.215,HTTPS
5445,tcp,218.102.253.37,53385,38000,10.177.71.215,HTTPS
5493,tcp,106.180.225.76,54884,23153,10.177.71.215,HTTPS
5748,tcp,106.180.225.76,54904,23153,10.177.71.215,HTTPS
5992,tcp,223.6.6.6,54926,443,10.177.71.215,DoH
5993,tcp,223.5.5.5,54927,443,10.177.71.215,DoH
5994,tcp,1.12.12.12,54925,443,10.177.71.215,HTTPS
6074,tcp,106.180.225.76,54924,23153,10.177.71.215,HTTPS
6360,udp,119.29.29.29,57711,53,10.177.71.215,DNS
6372,udp,202.120.224.26,51845,53,10.177.71.215,DNS
6383,udp,17.253.116.125,53893,123,10.177.71.215,NTP
6386,udp,114.114.114.114,55993,53,10.177.71.215,DNS
6396,udp,223.5.5.5,63812,53,10.177.71.215,DNS
6411,udp,17.253.116.253,56283,123,10.177.71.215,NTP
6458,udp,17.253.116.125,54462,123,10.177.71.215,NTP
6477,tcp,110.242.70.52,54345,80,10.177.71.215,百度网盘
6632,udp,202.120.224.26,60241,53,10.177.71.215,DNS
6667,tcp,106.180.225.76,54966,23153,10.177.71.215,HTTPS
7164,udp,202.120.224.26,35886,53,10.177.71.215,DNS
7224,tcp,218.102.253.37,50123,38000,10.177.71.215,SSL
7317,tcp,106.180.225.76,55004,23153,10.177.71.215,HTTPS
7398,tcp,52.22.99.87,54766,443,10.177.71.215,HTTPS
7423,udp,202.120.224.26,58351,53,10.177.71.215,DNS
