,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
146,tcp,23.76.76.122,58830,80,10.177.71.215,OCSP
151,tcp,23.2.16.57,58832,80,10.177.71.215,OCSP
155,tcp,182.61.200.6,58884,80,10.177.71.215,百度
239,tcp,182.61.200.6,58891,80,10.177.71.215,百度
263,udp,139.9.51.128,57024,18661,10.177.71.215,雷神加速器
446,tcp,182.61.200.6,58898,80,10.177.71.215,百度
458,udp,139.9.51.128,53724,18661,10.177.71.215,雷神加速器
550,tcp,139.9.51.128,58904,5438,10.177.71.215,雷神加速器
589,tcp,182.61.200.6,58908,80,10.177.71.215,百度
722,tcp,139.9.51.128,58862,5438,10.177.71.215,雷神加速器
737,tcp,182.61.200.6,58917,80,10.177.71.215,百度
911,tcp,182.61.200.6,58924,80,10.177.71.215,百度
1020,udp,139.9.51.128,60669,18661,10.177.71.215,雷神加速器
1021,udp,139.9.51.128,60671,18661,10.177.71.215,雷神加速器
1073,tcp,182.61.200.6,58932,80,10.177.71.215,百度
1113,tcp,124.232.159.71,58934,443,10.177.71.215,雷神加速器
1123,udp,202.120.224.26,56116,53,10.177.71.215,DNS
1144,tcp,182.61.200.6,58941,80,10.177.71.215,百度
1311,udp,139.9.51.128,54565,18661,10.177.71.215,雷神加速器
1363,tcp,182.61.200.6,58948,80,10.177.71.215,百度
1490,udp,139.9.51.128,60667,18661,10.177.71.215,雷神加速器
1516,tcp,182.61.200.6,58955,80,10.177.71.215,百度
1576,tcp,182.61.200.6,58964,80,10.177.71.215,百度
1605,tcp,139.9.51.128,56482,5438,10.177.71.215,雷神加速器
1606,tcp,139.9.51.128,58391,5438,10.177.71.215,雷神加速器
1607,tcp,119.3.178.178,51504,21111,10.177.71.215,未知协议
1608,tcp,139.9.51.128,58849,5438,10.177.71.215,雷神加速器
1609,tcp,139.9.51.128,64553,5438,10.177.71.215,雷神加速器
1610,tcp,103.28.54.165,56001,27036,10.177.71.215,S-Steam平台游戏
1611,tcp,20.54.24.246,58914,443,10.177.71.215,Windows自动更新
1612,icmp,139.9.51.128,0,0,10.177.71.215,ICMP
1613,tcp,139.9.51.128,58602,5438,10.177.71.215,雷神加速器
1614,udp,139.9.51.128,54702,18661,10.177.71.215,雷神加速器
1615,udp,139.9.51.128,61003,18661,10.177.71.215,雷神加速器
1616,tcp,20.198.162.78,62993,443,10.177.71.215,Microsoft通用协议
1617,udp,139.9.51.128,49697,18661,10.177.71.215,雷神加速器
