,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
20,tcp,106.180.225.76,57788,23153,10.177.71.215,HTTPS
59,tcp,106.180.225.76,57802,23153,10.177.71.215,HTTPS
69,tcp,106.180.225.76,57797,23153,10.177.71.215,HTTPS
71,tcp,106.180.225.76,57968,23153,10.177.71.215,HTTPS
73,tcp,106.180.225.76,57807,23153,10.177.71.215,HTTPS
77,tcp,106.180.225.76,57803,23153,10.177.71.215,HTTPS
79,tcp,106.180.225.76,57799,23153,10.177.71.215,HTTPS
120,tcp,106.180.225.76,57829,23153,10.177.71.215,HTTPS
124,tcp,106.180.225.76,58511,23153,10.177.71.215,HTTPS
163,tcp,106.180.225.76,57833,23153,10.177.71.215,HTTPS
175,tcp,106.180.225.76,57867,23153,10.177.71.215,HTTPS
198,tcp,106.180.225.76,57896,23153,10.177.71.215,HTTPS
206,tcp,106.180.225.76,57832,23153,10.177.71.215,HTTPS
212,tcp,106.180.225.76,57793,23153,10.177.71.215,HTTPS
221,tcp,106.180.225.76,58522,23153,10.177.71.215,HTTPS
257,tcp,106.180.225.76,57932,23153,10.177.71.215,HTTPS
426,tcp,175.27.4.102,58519,80,10.177.71.215,微信消息
512,tcp,123.234.3.167,57951,443,10.177.71.215,哔哩哔哩动画
747,tcp,203.205.137.58,57900,443,10.177.71.215,腾讯视频
758,tcp,203.205.137.58,57879,443,10.177.71.215,腾讯视频
762,tcp,203.205.137.58,57911,443,10.177.71.215,腾讯视频
778,tcp,203.205.137.58,57880,443,10.177.71.215,腾讯视频
790,tcp,175.27.4.102,58573,80,10.177.71.215,微信消息
794,tcp,106.180.225.76,58594,23153,10.177.71.215,HTTPS
814,tcp,106.180.225.76,57972,23153,10.177.71.215,HTTPS
825,tcp,101.33.17.48,57882,443,10.177.71.215,腾讯视频
878,tcp,101.33.17.48,57899,443,10.177.71.215,腾讯视频
892,tcp,182.61.200.162,58157,443,10.177.71.215,百度网盘
932,udp,202.120.224.26,6211,53,10.177.71.215,DNS
952,udp,202.120.224.26,37131,53,10.177.71.215,DNS
962,tcp,101.33.17.48,57881,443,10.177.71.215,腾讯视频
975,tcp,101.33.17.48,57923,443,10.177.71.215,腾讯视频
1057,tcp,106.180.225.76,58031,23153,10.177.71.215,HTTPS
1098,tcp,175.27.4.102,58599,80,10.177.71.215,微信消息
1106,tcp,106.180.225.76,57858,23153,10.177.71.215,HTTPS
1190,tcp,106.180.225.76,57818,23153,10.177.71.215,HTTPS
1213,tcp,106.180.225.76,57819,23153,10.177.71.215,HTTPS
1222,tcp,106.180.225.76,57864,23153,10.177.71.215,HTTPS
1232,tcp,106.180.225.76,57913,23153,10.177.71.215,HTTPS
1257,tcp,101.33.17.48,57927,443,10.177.71.215,腾讯视频
1291,tcp,175.27.4.102,58620,80,10.177.71.215,微信消息
1306,tcp,106.180.225.76,58028,23153,10.177.71.215,HTTPS
1318,tcp,106.180.225.76,58638,23153,10.177.71.215,HTTPS
1473,tcp,106.180.225.76,57597,23153,10.177.71.215,HTTPS
1524,tcp,129.226.107.33,57933,443,10.177.71.215,腾讯视频
1566,tcp,175.27.4.102,58643,80,10.177.71.215,微信消息
1660,tcp,34.197.59.7,58079,443,10.177.71.215,HTTPS
1724,tcp,110.242.70.52,58032,80,10.177.71.215,百度网盘
1757,tcp,175.27.4.102,58666,80,10.177.71.215,微信消息
1785,tcp,106.180.225.76,58683,23153,10.177.71.215,HTTPS
1845,tcp,106.180.225.76,58516,23153,10.177.71.215,HTTPS
2038,tcp,175.27.4.102,58685,80,10.177.71.215,微信消息
2194,tcp,106.180.225.76,58727,23153,10.177.71.215,HTTPS
2200,tcp,175.27.4.102,58706,80,10.177.71.215,微信消息
2385,tcp,106.180.225.76,58029,23153,10.177.71.215,HTTPS
2447,tcp,106.180.225.76,58041,23153,10.177.71.215,HTTPS
2453,tcp,175.27.4.102,58729,80,10.177.71.215,微信消息
2457,tcp,106.180.225.76,58042,23153,10.177.71.215,HTTPS
2666,tcp,106.180.225.76,58768,23153,10.177.71.215,HTTPS
2670,tcp,175.27.4.102,58751,80,10.177.71.215,微信消息
2752,tcp,182.61.200.162,58651,443,10.177.71.215,百度网盘
2830,tcp,175.27.4.102,58773,80,10.177.71.215,微信消息
2845,tcp,106.180.225.76,57781,23153,10.177.71.215,HTTPS
2858,tcp,106.180.225.76,57823,23153,10.177.71.215,HTTPS
3062,tcp,106.180.225.76,58518,23153,10.177.71.215,HTTPS
3065,tcp,175.27.4.102,58795,80,10.177.71.215,微信消息
3077,tcp,106.180.225.76,57792,23153,10.177.71.215,HTTPS
3087,tcp,106.180.225.76,58811,23153,10.177.71.215,HTTPS
3109,tcp,175.27.0.201,58828,80,10.177.71.215,微信消息
3224,tcp,106.180.225.76,58830,23153,10.177.71.215,HTTPS
3251,tcp,106.180.225.76,57929,23153,10.177.71.215,HTTPS
3262,tcp,175.27.4.102,58818,80,10.177.71.215,微信消息
3289,tcp,175.27.0.201,58847,80,10.177.71.215,微信消息
3310,tcp,175.27.0.201,58846,80,10.177.71.215,微信消息
3389,tcp,123.234.3.168,58587,443,10.177.71.215,哔哩哔哩动画
3401,tcp,106.180.225.76,57984,23153,10.177.71.215,HTTPS
3444,tcp,175.27.0.201,58849,80,10.177.71.215,微信消息
3464,tcp,175.27.0.201,58848,80,10.177.71.215,微信消息
3467,tcp,106.180.225.76,58867,23153,10.177.71.215,HTTPS
3675,tcp,106.180.225.76,58038,23153,10.177.71.215,HTTPS
3777,tcp,175.27.0.201,58898,80,10.177.71.215,微信消息
3787,tcp,175.27.0.201,58899,80,10.177.71.215,微信消息
3856,tcp,43.137.221.103,58917,80,10.177.71.215,腾讯私有协议
3864,tcp,43.137.223.136,58915,80,10.177.71.215,腾讯私有协议
3879,tcp,109.244.228.251,58921,80,10.177.71.215,微信消息
3884,tcp,175.27.0.201,58918,80,10.177.71.215,微信消息
3891,tcp,43.137.223.19,58913,80,10.177.71.215,微信消息
3902,tcp,175.27.0.201,58912,80,10.177.71.215,微信消息
3907,tcp,175.27.0.201,58916,80,10.177.71.215,微信消息
3912,tcp,175.27.0.201,58914,80,10.177.71.215,微信消息
3917,tcp,43.137.223.19,58920,80,10.177.71.215,微信消息
3920,tcp,106.180.225.76,58911,23153,10.177.71.215,HTTPS
