,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
45,tcp,43.137.214.75,49533,80,10.177.71.215,微信消息
103,tcp,43.248.116.228,65042,12123,10.177.71.215,HTTPS
179,tcp,43.137.214.75,49551,80,10.177.71.215,微信消息
306,tcp,43.137.214.75,49568,80,10.177.71.215,微信消息
458,tcp,43.248.116.228,65030,12123,10.177.71.215,HTTPS
460,tcp,43.137.214.75,49586,80,10.177.71.215,微信消息
530,tcp,43.248.116.228,65117,12123,10.177.71.215,HTTPS
577,udp,223.5.5.5,54583,53,10.177.71.215,DNS
588,udp,223.5.5.5,59743,53,10.177.71.215,DNS
608,tcp,43.137.214.75,49606,80,10.177.71.215,微信消息
763,tcp,43.137.214.75,49623,80,10.177.71.215,微信消息
885,tcp,43.137.214.75,49641,80,10.177.71.215,微信消息
950,tcp,40.99.9.98,49668,993,10.177.71.215,IMAP
1067,tcp,43.137.214.75,49659,80,10.177.71.215,微信消息
1087,udp,223.5.5.5,62791,53,10.177.71.215,DNS
1144,tcp,36.156.217.197,52046,443,10.177.71.215,哔哩哔哩动画
1153,tcp,52.98.70.130,49665,993,10.177.71.215,IMAP
1185,udp,223.5.5.5,62914,53,10.177.71.215,DNS
1226,udp,223.5.5.5,49467,53,10.177.71.215,DNS
1234,udp,223.5.5.5,53645,53,10.177.71.215,DNS
1238,udp,223.5.5.5,53784,53,10.177.71.215,DNS
1243,tcp,43.137.214.75,49680,80,10.177.71.215,微信消息
1251,udp,223.5.5.5,60564,53,10.177.71.215,DNS
1252,udp,223.5.5.5,53248,53,10.177.71.215,DNS
1258,udp,223.5.5.5,52807,53,10.177.71.215,DNS
1389,tcp,43.137.214.75,49696,80,10.177.71.215,微信消息
1559,tcp,43.137.214.75,49714,80,10.177.71.215,微信消息
1572,tcp,43.137.214.75,49732,80,10.177.71.215,微信消息
1689,tcp,43.137.214.75,49731,80,10.177.71.215,微信消息
1838,tcp,43.137.214.75,49750,80,10.177.71.215,微信消息
1968,tcp,43.137.214.75,49767,80,10.177.71.215,微信消息
2079,tcp,10.162.215.4,49780,7000,10.177.71.215,网页浏览
2081,tcp,112.19.199.77,49660,993,10.177.71.215,IMAP
2144,tcp,43.137.214.75,49786,80,10.177.71.215,微信消息
2273,tcp,43.137.214.75,49804,80,10.177.71.215,微信消息
2316,tcp,175.27.57.28,49809,80,10.177.71.215,微信消息
2407,tcp,43.137.214.75,49822,80,10.177.71.215,微信消息
2543,tcp,43.137.214.75,49858,80,10.177.71.215,微信消息
2568,tcp,43.137.214.75,49840,80,10.177.71.215,微信消息
2823,tcp,8.134.50.24,52055,443,10.177.71.215,哔哩哔哩动画
2835,tcp,43.137.214.75,49875,80,10.177.71.215,微信消息
2982,tcp,43.137.214.75,49893,80,10.177.71.215,微信消息
3074,tcp,43.137.214.75,49911,80,10.177.71.215,微信消息
3128,tcp,40.101.147.114,54261,993,10.177.71.215,IMAP
3129,tcp,34.237.73.95,54534,443,10.177.71.215,INTERCOM
3130,tcp,17.57.145.166,49288,5223,10.177.71.215,Apple私有协议
3131,tcp,35.186.224.47,54445,443,10.177.71.215,Spotify
3132,tcp,175.27.6.112,54888,5000,10.177.71.215,未知协议
3133,tcp,49.7.150.179,51940,443,10.177.71.215,哔哩哔哩动画
3134,tcp,81.70.103.226,51878,7826,10.177.71.215,哔哩哔哩动画
3135,tcp,43.248.116.228,65499,12123,10.177.71.215,HTTPS
3136,tcp,43.137.214.75,49946,80,10.177.71.215,微信消息
3137,tcp,101.91.136.148,51939,443,10.177.71.215,哔哩哔哩动画
3138,tcp,40.101.147.114,54241,993,10.177.71.215,IMAP
3139,tcp,101.91.136.148,52026,443,10.177.71.215,哔哩哔哩动画
3140,tcp,43.248.116.228,64169,12123,10.177.71.215,HTTPS
3141,tcp,104.154.127.126,54735,443,10.177.71.215,未知协议
3142,udp,101.91.133.30,53738,3478,10.177.71.215,STUN
3143,tcp,43.248.116.228,57919,12123,10.177.71.215,HTTPS
3144,tcp,101.91.136.148,52017,443,10.177.71.215,哔哩哔哩动画
3145,tcp,43.248.116.228,49601,12123,10.177.71.215,HTTPS
3146,tcp,49.7.150.179,52018,443,10.177.71.215,哔哩哔哩动画
3147,tcp,43.137.214.75,49928,80,10.177.71.215,微信消息
3148,tcp,43.248.116.228,62982,12123,10.177.71.215,HTTPS
3149,tcp,49.7.150.179,52025,443,10.177.71.215,哔哩哔哩动画
3150,tcp,20.197.71.89,64655,443,10.177.71.215,OneDrive
3151,tcp,119.91.147.108,51936,7826,10.177.71.215,哔哩哔哩动画
3152,tcp,36.156.217.196,52054,443,10.177.71.215,哔哩哔哩动画
3153,udp,116.253.4.70,53738,28965,10.177.71.215,STUN
3154,tcp,43.137.221.134,54748,443,10.177.71.215,微信消息
3155,tcp,47.101.210.34,51847,443,10.177.71.215,哔哩哔哩动画
3156,tcp,159.75.208.12,51303,7826,10.177.71.215,哔哩哔哩动画
