,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
80,tcp,106.180.225.76,57709,23153,10.177.71.215,HTTPS
95,tcp,175.27.4.102,57689,80,10.177.71.215,微信消息
107,tcp,106.180.225.76,57284,23153,10.177.71.215,HTTPS
265,tcp,175.27.4.102,57730,80,10.177.71.215,微信消息
364,tcp,106.180.225.76,57784,23153,10.177.71.215,HTTPS
373,tcp,175.27.4.102,57769,80,10.177.71.215,微信消息
552,tcp,175.27.4.102,57795,80,10.177.71.215,微信消息
568,udp,202.120.224.26,2002,53,10.177.71.215,DNS
650,tcp,106.180.225.76,57834,23153,10.177.71.215,HTTPS
678,tcp,175.27.4.102,57822,80,10.177.71.215,微信消息
847,tcp,175.27.4.102,57847,80,10.177.71.215,微信消息
859,tcp,202.120.224.58,57885,443,10.177.71.215,HTTPS
873,tcp,202.120.224.58,57884,443,10.177.71.215,HTTPS
916,tcp,106.180.225.76,57541,23153,10.177.71.215,HTTPS
952,tcp,106.180.225.76,57904,23153,10.177.71.215,HTTPS
985,udp,202.120.224.26,62935,53,10.177.71.215,DNS
1036,tcp,175.27.4.102,57886,80,10.177.71.215,微信消息
1083,tcp,106.180.225.76,57403,23153,10.177.71.215,HTTPS
1193,tcp,175.27.4.102,57915,80,10.177.71.215,微信消息
1321,tcp,106.180.225.76,57960,23153,10.177.71.215,HTTPS
1400,tcp,43.137.191.78,57973,80,10.177.71.215,微信消息
1401,tcp,175.27.4.102,57943,80,10.177.71.215,微信消息
1513,udp,202.120.224.26,36006,53,10.177.71.215,DNS
1515,tcp,110.242.70.52,57505,80,10.177.71.215,百度网盘
1519,udp,202.120.224.26,38361,53,10.177.71.215,DNS
1552,tcp,175.27.4.102,57972,80,10.177.71.215,微信消息
1630,tcp,106.180.225.76,57998,23153,10.177.71.215,HTTPS
1706,tcp,106.180.225.76,58009,23153,10.177.71.215,HTTPS
1733,tcp,18.164.154.93,57639,443,10.177.71.215,HTTPS
1759,tcp,175.27.4.102,57995,80,10.177.71.215,微信消息
1834,tcp,124.236.26.170,57425,443,10.177.71.215,SSL
1913,tcp,175.27.4.102,58017,80,10.177.71.215,微信消息
1986,tcp,106.180.225.76,58055,23153,10.177.71.215,HTTPS
2069,tcp,175.27.4.102,58043,80,10.177.71.215,微信消息
2116,tcp,198.175.113.248,53255,9080,10.177.71.215,SSH
2268,tcp,175.27.4.102,58065,80,10.177.71.215,微信消息
2281,tcp,106.180.225.76,57443,23153,10.177.71.215,HTTPS
2374,tcp,106.180.225.76,58096,23153,10.177.71.215,HTTPS
2404,tcp,175.27.4.102,58085,80,10.177.71.215,微信消息
2570,tcp,175.27.4.102,58105,80,10.177.71.215,微信消息
2685,tcp,106.180.225.76,58133,23153,10.177.71.215,HTTPS
2758,tcp,106.180.225.76,58139,23153,10.177.71.215,HTTPS
2779,tcp,175.27.4.102,58122,80,10.177.71.215,微信消息
2816,tcp,106.180.225.76,57845,23153,10.177.71.215,HTTPS
2826,tcp,106.180.225.76,57849,23153,10.177.71.215,HTTPS
2860,tcp,182.61.200.162,58029,443,10.177.71.215,百度网盘
2914,tcp,175.27.4.102,58169,80,10.177.71.215,微信消息
2945,tcp,175.27.4.102,58144,80,10.177.71.215,微信消息
2984,tcp,110.242.70.52,57630,80,10.177.71.215,百度网盘
3040,tcp,106.180.225.76,58181,23153,10.177.71.215,HTTPS
